file,line_num,gt,pred,accuracy,cer,wer,cer_bin
1_1.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске. Подписывать бланк НЕ требуется,1.0,0.0,0.0,0-0.1
1_1.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АББГДЕЕЖЗ ИИКИМНОПРСТУ,0.8,0.21739130434782608,1.0,0.2-0.3
1_1.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ФXЦ4ШЩЫЬ30Я-0123456789,0.8,0.21739130434782608,1.0,0.2-0.3
1_1.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АБВГДЕЕЖЗ ИЙКИМНОЛРСТ Ч,0.8260869565217391,0.17391304347826086,1.0,0.1-0.2
1_1.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,6829542V0-60E91997M67X,0.2222222222222222,0.8695652173913043,1.0,0.5-1.0
1_1.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,НБВГДЕЕЖЗ,0.4375,0.6956521739130435,1.0,0.5-1.0
1_1.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,ИЙКИМНОПРСТЧ,0.05714285714285714,1.0,1.0,>1.0
1_1.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ФXЦ4ШЩ63H9-0123456709,0.0,1.0,1.0,>1.0
1_1.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,АББЛДЕЕЖЗИЙКИМНОПРЕТУ,0.0,1.0,1.0,>1.0
1_1.png,9,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ФXЦ4ШЦЫ6 9Ю9-0123.456709,0.0425531914893617,1.0434782608695652,1.0,>1.0
1_1.png,10,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,АБЕГДЕЁЖЗИЙКАМНОП РСТУФХЦЧШЩЪЫЬ Э,0.35714285714285715,1.434782608695652,3.0,>1.0
1_1.png,11,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,H9-0123456789,0.0,1.0,1.0,>1.0
1_1.png,12,ЮЯ-0123456789,АБРГДЕЁЖЗИЙКЛМНОП РСТУФХЦЧШЩЪЫЬЭ,0.0,2.4615384615384617,2.0,>1.0
1_1.png,13,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,H9-0123456789,0.0,1.0,1.0,>1.0
1_1.png,14,ЮЯ-0123456789,АББГДЕЕЖЗИЙКЛМНОП РЕТУФХЦУШЩЪЫЬ Э,0.0,2.5384615384615383,3.0,>1.0
1_1.png,15,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,H9-0123456789,0.0,1.0,1.0,>1.0
1_1.png,16,ЮЯ-0123456789,АБЕГДЕЕХЗИЙКИМНОЛ РСТУФХЦУШЩЪЫЬЭ,0.0,2.4615384615384617,2.0,>1.0
1_1.png,17,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,H9-012.7456789,0.0,1.0,1.0,>1.0
1_1.png,18,ЮЯ-0123456789,АББЕДЕЕЖЗИЙКИМНОП РЕТУФХЦЧШЩЪЫЬ,0.0,2.3846153846153846,2.0,>1.0
1_1.png,19,АБВГДЕЁЖЗИЙ КЛМНОПРСТ УФХЦЧШЩЪЫЬЭ,H9-0127456789,0.0,1.0,1.0,>1.0
1_2.png,0,Задание указано на доске. Подписывать бланк НЕ требуется,Задание указано на доске. Подписывать бланк НЕ требуется,1.0,0.0,0.0,0-0.1
1_2.png,1,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,АБЕГАЕЁЖЗ ИЙКИМНОПРСТ У,0.8695652173913043,0.13043478260869565,0.6666666666666666,0.1-0.2
1_2.png,2,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,9XЦ4WL6b309-0123456789,0.5333333333333333,0.4782608695652174,1.0,0.3-0.5
1_2.png,3,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ИЙКИМНОПРЕТ Ч,0.5555555555555556,0.5652173913043478,1.0,0.5-1.0
1_2.png,4,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,АБВГДЕЁЖЗ,0.0,1.0,1.0,>1.0
1_2.png,5,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ФX44WLЪb6309-0123456789,0.0,1.0,1.0,>1.0
1_2.png,6,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,АББГДEЕЖ3,0.0625,0.9565217391304348,1.0,0.5-1.0
1_2.png,7,АБВГДЕЁЖЗ ИЙКЛМНОПРСТ У,ИЙКИМНЕПРСТ У,0.6111111111111112,0.5217391304347826,0.6666666666666666,0.5-1.0
1_2.png,8,ФХЦЧШЩЪЫЬЭЮЯ-0123456789,3295420-E9,0.12121212121212122,0.9130434782608695,1.0,0.5-1.0
